t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Total_Transpiration_turgor,Tr,Transpiration,Ts,VPDa,WC_mstruct,Wmax,age,ambient_CO2,amino_acids,area_prim,cytokinins,cytokinins_import,epsilon_volume,fructan,green_area,gs,gs_VPD,gs_VPD_psi,gs_psi,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,organ_volume,osmotic_water_potential,proteins,resistance,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,thickness,total_water_influx,total_water_potential,triosesP,turgor_water_potential,volume,water_content,water_influx,width
0,1,MS,1,blade,LeafElement1,13.93381030,NA,13.80519561,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,452.31001669,NA,NA,NA,NA,NA,0.12861469,NA,NA,NA,NA,NA,NA,20.08972257,0.02627850,2.07610916,NA,17.40860978,0.37481091,96.75310761,0.00300000,240.40044528,NA,1.69000000,NA,0.34907527,NA,46.15384615,0.00000000,0.00019495,0.38908939,0.36806908,0.36771214,0.37168154,0.04750747,False,False,0.08183982,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,0.00000008,-0.50103208,16.93543686,11049.40136523,0,0.00000000,0.00000000,24.15745785,NA,0.00039902,0.02627848,-0.11433574,0.00000000,0.38669634,0.00000012,0.12237627,0.02627848,0.00232481
0,1,MS,1,sheath,StemElement,1.25789982,NA,1.60191846,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,183.72481473,NA,NA,NA,NA,NA,0.01077362,NA,NA,NA,NA,NA,NA,2.83623099,0.01066290,0.61261050,NA,16.97085374,0.37481091,96.13451477,NA,240.40044528,NA,0.20231970,NA,0.04104000,NA,46.15384615,0.00000000,0.00026807,0.19792864,0.08637285,0.08633203,0.08678595,0.01424321,False,False,0.02844290,0.00171000,1183.15614503,0.00171000,1.00000000,0.00000000,0.00000003,-0.42163815,2.02319701,2976.20226342,0,0.00000000,0.00000000,10.05882353,NA,0.00039900,0.01066290,-0.04249503,0.00000000,0.37914312,0.00000004,0.04252765,0.01066290,0.00299399
0,1,MS,2,blade,LeafElement1,14.54220658,NA,14.40194443,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,423.00662932,NA,NA,NA,NA,NA,0.14026215,NA,NA,NA,NA,NA,NA,27.72496500,0.03099558,1.98418762,NA,16.87100768,0.37481091,96.89644675,0.00330000,160.40044528,NA,2.36000000,NA,0.48860194,NA,46.15384615,0.00000000,0.00024060,0.38102335,0.38215366,0.38178090,0.38592607,0.06200019,False,False,0.09182180,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,0.00000010,-0.51525791,23.63639357,10733.01641516,0,0.00000000,0.00000000,28.45672340,NA,0.00041898,0.03099552,-0.12608959,0.00000000,0.38916832,0.00000015,0.15103669,0.03099552,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,0.00000000,NA,20.00000000,0.00000000,95.37887991,NA,160.40044528,NA,0.38263356,NA,0.07980000,NA,46.15384615,6.70588235,0.00024800,0.00000000,0.00000000,0.00000000,0.00000000,NA,False,False,0.02850785,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,0.00000004,-0.75499398,3.82633557,2569.46153793,0,0.00000000,0.00000000,13.41176471,NA,0.00042014,0.00000000,-0.03367976,0.00000000,0.72131422,0.00000005,0.04705869,0.00000000,0.00330091
0,1,MS,2,sheath,StemElement,1.72638498,NA,2.19568819,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,95.24996562,NA,NA,NA,NA,NA,0.01762588,NA,NA,NA,NA,NA,NA,0.08812728,0.00013497,0.44198746,NA,14.36671576,0.37481091,95.36291634,NA,160.40044528,NA,0.00671287,NA,0.00140000,NA,46.15384615,0.00000000,0.00000471,0.19326512,0.09994841,0.09989236,0.10051570,0.02873631,False,False,0.00049944,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000000,0.00000000,-0.54638122,0.06712869,45.15670650,0,0.00000000,0.00000000,0.23529412,NA,0.00041941,0.00013497,-0.03368146,0.00000000,0.51269976,0.00000000,0.00082261,0.00013497,0.00329632
0,1,MS,3,blade,LeafElement1,14.53601791,NA,14.38954415,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002354,390.85551914,NA,NA,NA,NA,NA,0.14647376,NA,NA,NA,NA,NA,NA,26.17348287,0.02560593,1.86604152,NA,16.51960872,0.37481091,96.35672435,0.00401774,80.40044528,NA,2.50015057,NA,0.56856559,NA,46.15384615,0.00000000,0.00021358,0.36708277,0.38200822,0.38163562,0.38577898,0.06325997,True,False,0.07064776,0.00469884,0.00000000,0.00469884,1.00000000,0.00000000,0.00000010,-0.63646167,25.04213143,6549.97161769,0,0.00000000,0.00000000,29.20400799,NA,0.00044954,0.02560443,-0.08026540,0.00000000,0.55619626,0.00000011,0.11030886,0.02560443,0.00301483
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00001007,0.00000000,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00000000,NA,0,0.00000000,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00005035,0.00000000,0.00000000,0.00000000,NA,0.00000000,NA,NA,0.00000000,NA,0,0.00000000,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,MS,1,blade,LeafElement1,15.48841013,0.13119864,15.35032420,0.00000000,3.92634899,116.00478935,2.76071476,0.52336520,10.19618826,0.06848600,0.19128883,0.00000000,0.00002050,554.33042695,NA,10.86865853,0.18937823,0.00025124,0.19379313,0.13808593,0.00000000,46.57948646,0.00000004,5.20143615,205.51716398,2286.36219931,19.68989172,0.03198792,2.53212387,0.00049357,18.42595178,0.37481091,96.75198823,0.00300000,240.80089055,NA,1.28438657,NA,0.36341323,0.02538763,46.15384615,0.00000000,0.00019492,0.42709602,0.40409890,0.40376022,0.40817999,0.04741324,False,False,0.08182860,0.00410677,4400.00000000,0.00410677,1.00000000,0.00012540,0.00000008,-0.50121061,16.94121944,11029.70597645,0,0.00000000,0.57264620,18.43876548,0.38342260,0.00039896,0.03198792,-0.13506784,0.00102720,0.36614277,0.00000012,0.12233268,0.03198792,0.00232481
1,1,MS,1,sheath,StemElement,1.33683426,0.05161937,1.70240289,0.00000000,5.18644911,22.63946111,0.90562743,0.05829565,2.16633659,0.02322060,0.07526152,0.00000000,0.00000855,225.16471278,NA,1.29006238,0.07451200,0.00002223,0.02375678,0.01148719,0.00000000,44.01441405,0.00000028,3.83315907,40.14896838,568.14540053,2.92712348,0.01258416,0.72444310,0.00019419,17.97470984,0.37481091,96.13419683,NA,240.80089055,NA,0.29653294,NA,0.04963919,0.00998862,46.15384615,0.00000000,0.00026806,0.20705407,0.08865909,0.08865838,0.08914137,0.01421468,False,False,0.02844196,0.00171000,1183.15614503,0.00171000,1.00000000,0.00014324,0.00000003,-0.42167423,2.01987626,2976.32468596,0,0.00000000,0.04653423,5.37447186,0.09829101,0.00039898,0.01258416,-0.04746707,0.00008272,0.37420716,0.00000004,0.04252402,0.01258416,0.00299389
1,1,MS,2,blade,LeafElement1,16.26228055,0.15410991,16.11271660,0.00000000,3.30322998,132.89668661,3.24400453,0.71803605,12.80162630,0.08023525,0.22469368,0.00000000,0.00002420,518.41753837,NA,14.08375444,0.22244927,0.00037158,0.25918751,0.14956394,0.00000000,46.44745965,0.00000004,5.39885405,235.43524760,2521.64316106,27.02498989,0.03757450,2.41000700,0.00057977,17.79151739,0.37481091,96.89526847,0.00330000,160.80089055,NA,1.64867108,NA,0.50303047,0.02982108,46.15384615,0.00000000,0.00024057,0.42041316,0.42207309,0.42154698,0.42618897,0.06187861,False,False,0.09180796,0.00483764,4885.93175850,0.00483764,1.00000000,0.00013879,0.00000010,-0.51545980,23.64774739,10714.24430566,0,0.00000000,0.77278426,22.77296382,0.48200836,0.00041890,0.03757468,-0.14889199,0.00138869,0.36656781,0.00000015,0.15097754,0.03757468,0.00255729
1,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,4.73134165,6.29342918,0.00000000,1.05837622,0.03692651,2.22958316,0.03084455,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00003050,0.02374946,0.00000000,0.00000000,0.00000000,0.00000058,3.42461709,0.00000000,0.00000000,4.96345869,0.00000000,0.00000000,0.00000000,10.00000000,0.00000000,95.37862477,NA,160.80089055,NA,0.32892066,NA,0.07734887,0.00000000,46.15384615,6.69741150,0.00024800,0.00000000,0.00000000,0.00000000,0.00000000,NA,False,False,0.02850722,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,0.00000004,-0.75503769,3.82025232,2569.53304607,0,0.00000000,0.00000000,6.78781761,0.02377996,0.00042013,0.00000000,-0.03706303,0.00000000,0.71797466,0.00000005,0.04705596,0.00000000,0.00330084
1,1,MS,2,sheath,StemElement,1.85671600,0.00062626,2.36248205,0.00000000,5.93954967,26.77284501,1.15167312,0.00174047,0.02403453,0.03084455,0.00091309,0.00000000,0.00000020,116.73399253,NA,0.03146263,0.00090398,0.00000001,0.00048357,0.01792308,0.00000000,22.82790365,0.00000184,3.24123162,47.43799509,663.33901004,0.08660547,0.00015267,0.50052648,0.00000236,14.83814643,0.37481091,95.36265942,NA,160.80089055,NA,0.00529782,NA,0.00147662,0.00012118,46.15384615,0.00000000,0.00000471,0.20401177,0.10372799,0.10372760,0.10439886,0.02867895,False,False,0.00049943,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000150,0.00000000,-0.54641296,0.06702194,45.15796780,0,0.00000000,0.00128726,0.07583596,0.00138756,0.00041940,0.00015267,-0.03706494,0.00000229,0.50934802,0.00000000,0.00082256,0.00015267,0.00329625
